PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,
1,7/29/2019,7:07:49 PM,1,1,"Holton, Tyler",663947,Left,HIL_HOP,"Frick, Patrick",687518,Right,EVE_AQU,Windup,1,Top,0,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,87.9503091019596,-1.81568848709283,2.67203531798569,2108.43084226418,171.719787146863,11:45,6.12885908448939,-1.49713051790103,6.8103527730151,-17.8943341904979,16.847664869829,-2.45662044229606,2.97882918417564,0.737653774838281,80.6056096371191,-5.22376791627675,2.20283992284884,0.424227600401533,,,,,,,,,,,,2.10781968533406,9.8951557353964,1.32593362996986,50,6.0049729450303,-5.90996689756787,-128.034230977251,-4.53913830292717,3.50114282321764,26.2719582768546,-15.7379398472012,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190729-RonTonkinField-1,d4b57aea-b26e-11e9-9fc1-7c67a28b8f89,
2,7/29/2019,7:08:01 PM,1,2,"Holton, Tyler",663947,Left,HIL_HOP,"Frick, Patrick",687518,Right,EVE_AQU,Windup,1,Top,0,1,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.8993607023859,-3.45324564479659,0.735004748916096,2226.82906336902,170.504443726917,11:45,6.20692633560278,-1.37906012097746,6.5711184846621,-15.8189171984164,20.3065086666516,-3.40220638272841,1.71972342372806,-0.988916664852308,79.2954765052222,-6.45199148531923,0.0851636284029379,0.432591524273347,,,,,,,,,,,,2.09739891611153,12.247194858754,1.33012668247006,50,5.96314123337277,-1.52741754968094,-126.376491995721,-8.06305538602384,3.37548534985287,26.9242667934245,-12.4638129379433,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190729-RonTonkinField-1,dbc66b04-b26e-11e9-9fc1-7c67a28b8f89,
3,7/29/2019,7:08:13 PM,1,3,"Holton, Tyler",663947,Left,HIL_HOP,"Frick, Patrick",687518,Right,EVE_AQU,Windup,1,Top,0,1,1,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,87.475011203912,-2.86314061307813,2.24030619285377,2226.71818572751,163.309106907821,11:30,6.167555409774,-1.45415898799437,6.57013758840364,-15.7746415666813,20.1512086211088,-6.05228938254295,2.22472101570778,0.095784720870227,79.1198710671645,-5.87155288283541,1.08051173557479,0.43139493884334,76.2925508504336,58.9531708144608,40.1123862268023,4288.69317399137,70.8989699814186,106.799516868767,84.103103800857,197.910283503009,34.5481543256449,52.6815448672886,4.99353088378901,4.06453730778171,12.0797667013321,1.30303926950001,50,5.96422782901379,-4.80680437139242,-127.137438221643,-6.79836771389255,6.56516320735303,29.2665161349015,-12.662445169457,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190729-RonTonkinField-1,e3d41668-b26e-11e9-9fc1-7c67a28b8f89,
4,7/29/2019,7:08:47 PM,1,4,"Holton, Tyler",663947,Left,HIL_HOP,"Frick, Patrick",687518,Right,EVE_AQU,Windup,1,Top,0,1,2,ChangeUp,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.3994193967571,-0.496626549004369,2.29671928538697,1744.37229146266,128.465896910425,10:15,5.83541546678757,-1.67922109514135,6.64164064499456,-33.8944379003157,11.8149334268602,-14.9256631489213,2.55596069713412,-0.819808880437778,70.1455022065061,-6.97594212393828,-0.570486261482125,0.486602283285782,,,,,,,,,,,,9.03629656797378,6.72931774692391,1.53064281253776,50,5.78806374018992,-4.15873060140544,-112.630507553595,-1.79121780085286,11.4381381337671,23.2433881504702,-23.656082666718,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190729-RonTonkinField-1,f75eef0c-b26e-11e9-9fc1-7c67a28b8f89,
5,7/29/2019,7:09:20 PM,2,1,"Holton, Tyler",663947,Left,HIL_HOP,"Hoover, Connor",676803,Left,EVE_AQU,Windup,1,Top,1,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,88.2967121179948,-3.38188611041997,2.73516637030775,2064.80608763089,159.827646239283,11:15,6.23840918945512,-1.42171780958971,6.4731987800449,-12.291154663531,23.022977783621,-8.47039407300539,2.10174854173658,0.385749607951251,80.1015429268074,-5.71751429250256,1.11900243496668,0.427706439617576,,,,,,,,,,,,5.50411668820237,13.7336080275787,1.23317833481371,50,5.99477481972466,-5.88477000662471,-128.232804556808,-7.93670748737753,9.08591384027555,28.6494078155012,-9.5033120289586,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190729-RonTonkinField-1,0b2071c1-b26f-11e9-9fc1-7c67a28b8f89,
6,7/29/2019,7:09:39 PM,2,2,"Holton, Tyler",663947,Left,HIL_HOP,"Hoover, Connor",676803,Left,EVE_AQU,Windup,1,Top,1,0,1,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,75.4839160387826,-1.73867995667352,2.00350625990958,2724.22199486049,352.191374280873,5:45,6.1332896218006,-1.40408456161453,6.45237340288978,-70.3671226502012,-21.3960941053002,2.9278676800891,-1.329189187784,0.680998388855608,69.503837085743,-14.9359782289852,2.56676690532984,0.50366425623532,,,,,,,,,,,,-0.907590757871487,-11.2304652107229,1.26123669168407,50,5.97919157482943,-3.90825360114078,-109.701645580807,-5.03039360341604,-1.0766057410959,24.2126609713292,-45.4958934696575,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190729-RonTonkinField-1,142ebab4-b26f-11e9-9fc1-7c67a28b8f89,
7,7/29/2019,7:09:57 PM,2,3,"Holton, Tyler",663947,Left,HIL_HOP,"Hoover, Connor",676803,Left,EVE_AQU,Windup,1,Top,1,1,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,87.8816306775869,-3.52389092722678,-0.355312220051977,2194.86262406482,170.466659724382,11:45,6.28772827585992,-1.33938162562848,6.50278482637206,-12.7864184436971,22.9086303285126,-3.85293140288733,1.98423776393812,-1.98652689367174,79.4687353037218,-5.95566723494985,-1.09340937146381,0.430006982939562,,,,,,,,,,,,2.01848566353519,13.7919655686652,1.36584970402572,50,6.03604856093249,0.900328892479283,-127.723083412745,-8.22476446743531,3.28909851401934,29.6342667026353,-9.70020379408845,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190729-RonTonkinField-1,215ff890-b26f-11e9-9fc1-7c67a28b8f89,
8,7/29/2019,7:10:12 PM,2,4,"Holton, Tyler",663947,Left,HIL_HOP,"Hoover, Connor",676803,Left,EVE_AQU,Windup,1,Top,1,2,1,Fastball,Undefined,InPlay,Undefined,GroundBall,Out,1,0,,88.8695222055159,-2.59707352651994,2.3232089876052,2240.5475689862,173.283800960142,11:45,6.13473793664741,-1.28937578355198,6.69858468465869,-16.0900523875838,18.5712134542744,-2.19077710419892,2.4159068225386,0.653251086813181,80.3096685225228,-5.67456810543122,1.90233035677072,0.423734405123902,72.5821327458407,-23.7498296825762,39.5861314220954,,,,,6.51455603935293,6.51455603935293,25.7706303431982,0.05653076171875,1.96534938513435,11.1814345085263,1.1360777734789,50,5.95581156752296,-5.18222455026145,-129.204930272544,-6.30313011819811,3.2739660207243,30.5742649869606,-13.5475198991012,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190729-RonTonkinField-1,2a32b2c4-b26f-11e9-9fc1-7c67a28b8f89,
9,7/29/2019,7:10:47 PM,3,1,"Holton, Tyler",663947,Left,HIL_HOP,"Tingelstad, Trent",690189,Left,EVE_AQU,Windup,1,Top,2,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,88.3199321453463,-3.32597880756289,2.63630108935385,2153.97756455989,171.460061484475,11:45,6.30901683682019,-1.37093821137126,6.53018292506972,-9.51215439158986,26.168901343694,-3.93465686210974,2.45907143214462,0.72090581912104,78.9681245534865,-5.14915617255801,1.87944461083292,0.429922689828701,62.8104511655049,44.1499940261943,-147.640528087218,4433.86488767468,-97.2463868032617,39.2171769215621,-51.4109389440334,161.19888027549,39.7319682912076,-153.620724542212,2.99471740722655,3.09943208278917,15.68089385061,1.18989505084281,50,6.074063099348,-5.79278806916349,-128.18444173472,-7.72179665853333,5.03558549218133,32.3090168968132,-6.69761304521601,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190729-RonTonkinField-1,3f645fe8-b26f-11e9-9fc1-7c67a28b8f89,
10,7/29/2019,7:11:04 PM,3,2,"Holton, Tyler",663947,Left,HIL_HOP,"Tingelstad, Trent",690189,Left,EVE_AQU,Windup,1,Top,2,0,1,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,89.0277691891576,-3.47844384191105,1.71128114748439,2188.03342509666,157.759860016737,11:15,6.11130563275569,-1.46466194308611,6.56016863803373,-15.4753108275913,18.5853243867223,-7.61281874739855,1.62772865529185,-0.529899640661011,82.1946344805685,-6.39418352880808,0.26715077324262,0.420047002510436,,,,,,,,,,,,4.63330400438539,11.1348457536548,1.35029750734152,50,5.8650737678664,-3.65152689859777,-129.519288685778,-8.31957301213232,7.93616172763134,24.9364214225294,-13.1017112719367,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190729-RonTonkinField-1,4945906f-b26f-11e9-9fc1-7c67a28b8f89,
