PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,
1,7/31/2019,7:10:17 PM,1,1,"Jameson, Drey",686753,Right,HIL_HOP,"Cooke, Billy",676623,Right,EVE_AQU,Windup,1,Top,0,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,94.7066847944235,-3.73392666904021,-0.529535264798215,2104.0869428702,200.387605057641,12:45,5.72759559098999,0.461104638044372,5.22185226382734,-16.2999509135473,15.7631126730325,5.86957159878637,0.854105546952816,0.452438134627106,86.3158028724796,-6.74579476885911,0.564438483811324,0.407543552208897,,,,,,,,,,,,-3.24776414170351,9.39399636131052,-0.416639758810002,50,5.37124435666909,1.04461851861075,-137.393072720768,-9.59234213323579,-6.18217514329141,31.6245086603813,-14.2924142174903,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190731-RonTonkinField-1,7f542782-b401-11e9-9fc3-7c67a28b8f89,
2,7/31/2019,7:10:31 PM,1,2,"Jameson, Drey",686753,Right,HIL_HOP,"Cooke, Billy",676623,Right,EVE_AQU,Windup,1,Top,0,1,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,93.2068451180051,-2.84300452122752,0.161616746292599,2118.71908718424,186.74129290695,12:15,5.59073833968406,0.798228217776095,5.37129995700941,-15.274143227458,17.7700327934791,2.1041561960122,1.65057616448232,1.1250793061682,84.3554116524196,-5.69002217195371,0.556103878816971,0.413731875407097,,,,,,,,,,,,-1.06703714687059,10.3116526367404,-0.814149158538,50,5.32552453196362,-0.458961858328581,-135.310172334144,-7.28062244261591,-1.95719450543111,32.4574906305384,-13.2600773402154,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190731-RonTonkinField-1,859ca070-b401-11e9-9fc3-7c67a28b8f89,
3,7/31/2019,7:10:46 PM,1,3,"Jameson, Drey",686753,Right,HIL_HOP,"Cooke, Billy",676623,Right,EVE_AQU,Windup,1,Top,0,2,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,93.8159688514897,-2.11277636923559,-0.50656801311794,2190.34407872045,190.391800762053,12:15,5.67725517587481,0.839840039641564,5.51237643673492,-12.1379596157468,20.1701128342372,3.70449556796123,2.68940834317881,0.674911061917825,85.0633544075378,-4.38289203512312,0.188560484006765,0.409097704295143,62.4269005598917,54.5291725109183,159.579707837964,4935.52421588347,,,,,,,,-2.12628473275902,11.3842920795855,-0.798199717911433,50,5.4852768662931,1.07101842527613,-136.331292411636,-5.46990392848282,-3.9723299272691,32.0309259027223,-10.9058884498435,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190731-RonTonkinField-1,9391a5f8-b401-11e9-9fc3-7c67a28b8f89,
4,7/31/2019,7:11:07 PM,1,4,"Jameson, Drey",686753,Right,HIL_HOP,"Cooke, Billy",676623,Right,EVE_AQU,Windup,1,Top,0,2,1,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,94.1274232862992,-2.6598600950354,0.0225562368732194,2207.49408752522,186.770975680543,12:15,5.68287199835248,0.540691025538793,5.29524504044914,-15.698568991851,16.6755654279912,1.98348784170171,1.87589986505645,0.72715650766632,85.4841367466243,-5.57765143523131,0.393217728905603,0.409515742218932,76.8733550975501,-17.9566682394592,-163.980047451649,,,,,5.22022970774211,4.92451576361869,-154.969060667261,0.0501043701171875,-1.04233363529889,9.61191178700598,-0.544155235935457,50,5.42993046496843,-0.128520584429352,-136.690167313011,-6.94146236421408,-1.9586119237918,32.0491338455859,-14.1126482533822,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190731-RonTonkinField-1,9a2be99a-b401-11e9-9fc3-7c67a28b8f89,
5,7/31/2019,7:11:29 PM,1,5,"Jameson, Drey",686753,Right,HIL_HOP,"Cooke, Billy",676623,Right,EVE_AQU,Windup,1,Top,0,2,2,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,84.2036239119766,-1.00229110503596,-0.590281777589141,2352.78869376228,96.029821648941,9:15,5.51642512157926,0.540445162893186,4.95492350080032,-38.8674448651328,1.7247274962476,-16.6892443859567,1.3304632968125,-1.40798225846954,77.7116740014439,-8.11895503788506,-3.6717587212454,0.458556300890765,,,,,,,,,,,,8.5408319594051,1.17206045755659,-0.469879240510997,50,5.38810804980845,1.85760982946409,-122.40424419692,-3.53079701507339,12.9839537137312,23.7050103649346,-30.3922574144268,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190731-RonTonkinField-1,ac10c3a0-b401-11e9-9fc3-7c67a28b8f89,
6,7/31/2019,7:11:48 PM,1,6,"Jameson, Drey",686753,Right,HIL_HOP,"Cooke, Billy",676623,Right,EVE_AQU,Windup,1,Top,0,3,2,Fastball,Undefined,InPlay,Undefined,FlyBall,Out,1,0,,93.4394046793756,-2.37060482778631,-1.32828614284526,2164.66749542309,191.353035184769,12:30,5.54385122534212,0.729666750586069,5.62868797385437,-13.4992130643134,18.4293685286939,3.70632205966625,2.20543317132916,-0.200902983230562,86.213736851555,-4.87649433428525,-0.637706140046004,0.40668797489416,94.5343966258465,15.8121271543106,-3.59946046462024,1732.90211178207,109.991337406351,26.6306071223602,-1.33624001674008,306.346621610627,292.826277519725,3.6096377972365,3.12485900878904,-2.30397408943683,10.4082161873892,-0.619124600977642,50,5.33351562526993,3.01855148934962,-135.932727773791,-6.11456358989708,-4.35679198324213,26.8241893318031,-12.4922157385309,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190731-RonTonkinField-1,b5024d50-b401-11e9-9fc3-7c67a28b8f89,
7,7/31/2019,7:12:24 PM,2,1,"Jameson, Drey",686753,Right,HIL_HOP,"Hoover, Connor",676803,Left,EVE_AQU,Windup,1,Top,1,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,96.3859307762961,-4.10511123119559,-0.78338029301142,2146.68517959415,206.834051994059,1:00,5.65897268942878,0.406899918312588,5.24944889903182,-12.8778628034123,17.7766520178071,9.00747847204321,0.721859402694888,0.421447292293129,88.6612136447609,-6.47277227690492,0.887283224909541,0.398491206028416,,,,,,,,,,,,-4.94309284991923,10.4203318988939,-0.34172851678953,50,5.27275154434781,1.55931252600837,-139.883506613444,-10.5456681811349,-9.85880477954149,29.6069878175838,-11.391105357032,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190731-RonTonkinField-1,cda4e29b-b401-11e9-9fc3-7c67a28b8f89,
8,7/31/2019,7:12:39 PM,2,2,"Jameson, Drey",686753,Right,HIL_HOP,"Hoover, Connor",676803,Left,EVE_AQU,Windup,1,Top,1,1,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,94.0044968810331,-4.04930686960208,0.315483486312074,2241.04662026213,187.508401749081,12:15,5.61657503767364,0.625028764847022,5.30096152910063,-13.4985949370227,18.6291271427355,2.45933162536098,0.684381929831347,1.12610694680066,86.5712196552165,-6.53210137053388,0.77183401494388,0.407954272169264,,,,,,,,,,,,-1.21535956120209,10.8596457300573,-0.655421799412436,50,5.23888120065905,-0.844871995726197,-136.467554013468,-10.1737927119891,-2.30912222264712,27.9236789349078,-11.5412662211784,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190731-RonTonkinField-1,d641c728-b401-11e9-9fc3-7c67a28b8f89,
9,7/31/2019,7:12:57 PM,2,3,"Jameson, Drey",686753,Right,HIL_HOP,"Hoover, Connor",676803,Left,EVE_AQU,Windup,1,Top,1,2,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,90.7721038283225,-3.35730228599861,-0.602863574056517,2195.48996282794,195.644766324602,12:30,5.67619141961452,0.939581757885241,5.35814578011603,-14.7381388575439,19.6655723465829,5.51635171519484,1.29622524374576,0.833976249245364,83.3969672577844,-6.07931727634104,0.423062106739333,0.422157165372577,,,,,,,,,,,,-3.07407218374131,11.2781501253211,-0.889380443385236,50,5.36421968879676,1.18714153274367,-131.859686743797,-8.2709594406369,-5.43980543361811,26.701445553176,-12.2165008263004,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190731-RonTonkinField-1,e1333ede-b401-11e9-9fc3-7c67a28b8f89,
10,7/31/2019,7:13:17 PM,2,4,"Jameson, Drey",686753,Right,HIL_HOP,"Hoover, Connor",676803,Left,EVE_AQU,Windup,1,Top,1,2,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,93.4277390992436,-4.76736529492705,-1.27197486753535,2198.14296716362,208.35381009658,1:00,5.71537388309234,0.626772825202047,5.25583523839258,-14.9913939186385,18.0147574884763,9.73852975614952,-0.0240569522820019,0.243170279832823,85.1672721404046,-7.5314609879501,0.544043428868199,0.413493761992395,,,,,,,,,,,,-5.50898025581233,10.8944555310862,-0.517422176588465,50,5.26714448544336,2.6388120498685,-135.335821002701,-11.8532819782061,-10.1744883685621,30.691695842111,-12.0531721082158,HIL_HOP,EVE_AQU,RonTonkinField,ShortSeasonA,NWL,20190731-RonTonkinField-1,eaaf98a9-b401-11e9-9fc3-7c67a28b8f89,
